Who wrote the novel on which the longest running show in Broadway history is based on?,,,,Gaston Leroux,,,,Phantom of the Opera
In what country was the only cruise line that flies the American flag incorporated in?,,,,Bermuda,,,,Pride of America
In what year did work begin on the second longest road tunnel in the world?,,,,1992,,,,Yamate Tunnel
What is the official color of the third oldest surviving university?,,,,Cambridge Blue,,,,University of Cambridge
Who succeeded the longest reigning Roman emperor?,,,,Tiberius,,,,Augustus
Who preceded the Roman emperor that declared war on the sea?,,,,Tiberius,,,,Caligula
Who produced the longest running video game franchise?,,,,MECC,,,,The Oregon Trail
Who was the father of the father of psychoanalysis?,,,,Jacob Freud,,,,Sigmund Freud
Who was the father of the father of empiricism?,,,,Sir Nicholas Bacon,,,,Francis Bacon
Who is the father of the father of observational astronomy?,,,,Vincenzo Galilei,,,,Galileo Galilei
Who is the father of the father of modern Hebrew?,,,,Yehuda Leib,,,,Eliezer Ben Yehuda
Who is the father of the father of modern experimental psychology?,,,,Maximilian Wundt,,,,Wilhelm Maximilian Wundt
Who is the father of the originator of cybernetics?,,,,Leo Wiener,,,,Norbert Wiener
Who is the father of the father of the hydrogen bomb?,,,,Max Teller,,,,Edward Teller
Who was the father of the father of computer science?,,,,Julius Mathison Turing,,,,Alan Turing
Who was the father of the father of behaviorism?,,,,Pickens Butler Watson,,,,John B. Watson
Who was the father of the founder of modern human anatomy?,,,,Anders van Wesel,,,,Andreas Vesalius
What was the father of the last surviving Canadian father of Confederation?,,,,Charles Tupper Sr.,,,,Tupper
"When was the person who said ?€?Now, I am become Death, the destroyer of worlds.?€? born?",,,,22-Apr-04,,,,Robert Oppenheimer
Who was the father of the father of information theory?,,,,Claude Sr.,,,,Shannon
"When was the person who delivered the ""Quit India"" speech born?",,,,"October 2, 1869",,,,Gandhi
When did the president who warned about the military industrial complex die?,,,,28-Mar-69,,,,Dwight Eisenhower
When did the president who said Tear Down This Wall die?,,,,5-Jun-04,,,,Ronald Reagan
What is the lowest elevation of the longest railway tunnel?,,,,312 m,,,,Gotthard Base Tunnel
"When did the person who said ""Cogito, ergo sum."" die?",,,,"February 11, 1650",,,,Descartes
When did the person who delivered the Gettysburg Address die?,,,,"April 15, 1865",,,,Lincoln
Who was governor of Florida during Hurricane Irma?,,,,Rick Scott,,,,2017
For which club did the winner of the 2007 Ballon d'Or play for in 2012?,,,,Real Madrid,,,,Kaka
What's the capital city of the country that was the champion of the 2010 World Cup?,,,,Madrid,,,,Spain
When was the anime studio that made Sword Art Online founded?,,,,9-May-05,,,,A-1 Pictures
Who was the first king of the longest Chinese dynasty?,,,,King Wu of Zhou,,,,Zhou
Who was the last emperor of the dynasty that succeeded the Song dynasty?,,,,Toghon Tem??r,,,,Yuan
What's the motto of the oldest California State university?,,,,Powering Silicon Valley,,,,San Jose State University
What's the capital of the state that the College of William & Mary is in?,,,,Richmond,,,,Virginia
What's the capital of the state that Washington University in St. Louis is in?,,,,Jefferson City,,,,Missouri
What's the capital of the state that Harvard University is in?,,,,Boston,,,,Massachusetts
What's the capital of the state that the Space Needle is at?,,,,Olympia,,,,Washington
Which team won in women's volleyball in the most recent Summer Olympics that was held in London?,,,,Brazil,,,,2012
What is the nickname of the easternmost U.S. state?,,,,Pine Tree State,,,,Maine
"What is the nickname for the state that is the home to the ?€?Avocado Capital of the World""?",,,,Golden State,,,,California
What rocket was used for the mission that landed the first humans on the moon?,,,,Saturn V,,,,Apollo 11
When did the war that Neil Armstrong served in end?,,,,27-Jul-53,,,,Korean War
What is the nickname for the state that Mount Rainier is located in?,,,,Evergreen State,,,,Washington
When was the composer of Carol of the Bells born?,,,,"December 13, 1877",,,,Mykola Leontovych
Who is the father of the scientist at MIT that won the Queen Elizabeth Prize for Engineering in 2013?,,,,Conway Berners-Lee,,,,Tim Berners-Lee
Who was the mother of the emperor of Japan during World War I?,,,,Yanagiwara Naruko,,,,Taish
Which element has an atomic number that is double that of hydrogen?,,,,Helium,,,,2
What was the motto of the Olympics that had Fuwa as the mascots?,,,,"One World, One Dream",,,,2008
